"Channel","Company","Category","PickupDate","DropoffDate","Duration","PickupLocation","DropoffLocation","Daily Rate","TotalRate"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","60,07 €","180,21 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","37,89 €","113,67 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","50,84 €","152,51 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","First Rent","INTERMEDIATE (Peugeot 308 SW Estate (IWMR))","01/06/2023","04/06/2023","3","Lisbon Airport","Lisbon Airport","128,44 €","385,31 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","17,29 €","51,88 €"
"DiscoverCars","Ausocar","COMPACT (Fiat Tipo STW (CWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","45,40 €","136,21 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","19,48 €","58,44 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","19,72 €","59,15 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","18,33 €","54,99 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","28,21 €","84,63 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","16,58 €","49,74 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","58,11 €","174,34 €"
"DiscoverCars","Surprice","ECONOMY (Ford Focus STW (EWMV))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","46,85 €","140,55 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","54,05 €","162,14 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","80,85 €","242,56 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","60,09 €","180,28 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","44,90 €","134,71 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","60,08 €","180,25 €"
"DiscoverCars","Surprice","ECONOMY (Renault Megane STW (EWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","47,65 €","142,95 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","17,64 €","52,91 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","46,96 €","140,88 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","60,07 €","180,21 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","37,89 €","113,67 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","50,84 €","152,51 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","41,55 €","124,64 €"
"DiscoverCars","First Rent","INTERMEDIATE (Peugeot 308 SW Estate (IWMR))","02/06/2023","05/06/2023","3","Lisbon Airport","Lisbon Airport","113,47 €","340,41 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","20,29 €","60,88 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","22,32 €","66,95 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","22,69 €","68,06 €"
"DiscoverCars","Cael","COMPACT (Renault Megane STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","32,30 €","96,89 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","21,25 €","63,76 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","30,39 €","91,18 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","31,30 €","93,89 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","58,59 €","175,77 €"
"DiscoverCars","Surprice","ECONOMY (Ford Focus STW (EWMV))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","51,96 €","155,87 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","54,50 €","163,49 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","60,58 €","181,75 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","70,18 €","210,53 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","60,57 €","181,72 €"
"DiscoverCars","Surprice","ECONOMY (Renault Megane STW (EWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","23,50 €","70,49 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","20,60 €","61,79 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","74,67 €","224,02 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","60,56 €","181,68 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","60,81 €","182,42 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","41,55 €","124,64 €"
"DiscoverCars","First Rent","INTERMEDIATE (Peugeot 308 SW Estate (IWMR))","03/06/2023","06/06/2023","3","Lisbon Airport","Lisbon Airport","129,38 €","388,14 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","20,29 €","60,88 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","22,32 €","66,95 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","22,69 €","68,06 €"
"DiscoverCars","Cael","COMPACT (Renault Megane STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","32,30 €","96,89 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","21,25 €","63,76 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","30,39 €","91,18 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","22,30 €","66,89 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","19,63 €","58,90 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","58,59 €","175,77 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","54,50 €","163,49 €"
"DiscoverCars","Drive On","INTERMEDIATE (Volkswagen Golf STW (IWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","22,82 €","68,45 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","60,58 €","181,75 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","45,84 €","137,51 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","60,57 €","181,72 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","20,60 €","61,79 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","47,74 €","143,21 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","60,56 €","181,68 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","39,35 €","118,04 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","51,32 €","153,97 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","First Rent","INTERMEDIATE (Peugeot 308 SW Estate (IWMR))","04/06/2023","07/06/2023","3","Lisbon Airport","Lisbon Airport","129,38 €","388,14 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","22,32 €","66,95 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","20,29 €","60,88 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","22,69 €","68,06 €"
"DiscoverCars","Cael","COMPACT (Renault Megane STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","32,30 €","96,89 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","21,25 €","63,76 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","22,30 €","66,89 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","31,30 €","93,89 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","58,59 €","175,77 €"
"DiscoverCars","Surprice","ECONOMY (Ford Focus STW (EWMV))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","48,96 €","146,87 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","54,50 €","163,49 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","60,58 €","181,75 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","45,84 €","137,51 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","60,57 €","181,72 €"
"DiscoverCars","Surprice","ECONOMY (Renault Megane STW (EWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","22,72 €","68,15 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","20,60 €","61,79 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","47,74 €","143,21 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","60,56 €","181,68 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","39,35 €","118,04 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","51,32 €","153,97 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","05/06/2023","08/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","18,89 €","56,68 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","20,92 €","62,75 €"
"DiscoverCars","Ausocar","COMPACT (Fiat Tipo STW (CWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","45,78 €","137,34 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","21,29 €","63,86 €"
"DiscoverCars","Cael","COMPACT (Renault Megane STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","30,90 €","92,69 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","19,85 €","59,56 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","28,99 €","86,98 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","20,90 €","62,69 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","18,23 €","54,70 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","58,59 €","175,77 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","54,50 €","163,49 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMV))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","60,58 €","181,75 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","45,28 €","135,84 €"
"DiscoverCars","Golfauto","COMPACT (Ford Focus STW (CWMV))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","60,57 €","181,72 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","19,20 €","57,59 €"
"DiscoverCars","Europcar","COMPACT (Renault Megane STW (CWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","47,35 €","142,05 €"
"DiscoverCars","Golfauto","INTERMEDIATE (Renault Megane Grandtour (IWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","60,56 €","181,68 €"
"DiscoverCars","Europcar","COMPACT (Fiat Tipo STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","38,20 €","114,61 €"
"DiscoverCars","Europcar","COMPACT ELITE (Volkswagen Golf STW (DWMD))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","51,26 €","153,78 €"
"DiscoverCars","Enterprise","COMPACT (Renault Megane STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","Alamo","COMPACT (Hyundai i30 STW (CWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","39,99 €","119,97 €"
"DiscoverCars","First Rent","INTERMEDIATE (Peugeot 308 SW Estate (IWMR))","06/06/2023","09/06/2023","3","Lisbon Airport","Lisbon Airport","114,41 €","343,24 €"
"DiscoverCars","Turisprime","COMPACT (Peugeot 308 STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","18,89 €","56,68 €"
"DiscoverCars","Drive On","COMPACT (Opel Astra SW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","19,62 €","58,85 €"
"DiscoverCars","Cael","COMPACT (Renault Megane STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","30,90 €","92,69 €"
"DiscoverCars","Right Cars","COMPACT (Renault Megane STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","21,29 €","63,86 €"
"DiscoverCars","Greenmotion","COMPACT (Fiat Tipo STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","19,85 €","59,56 €"
"DiscoverCars","Drivalia","COMPACT (Seat Leon STW (CWMD))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","28,99 €","86,98 €"
"DiscoverCars","Berent","INTERMEDIATE (Renault Megane Grandtour (IWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","20,90 €","62,69 €"
"DiscoverCars","Carwiz","COMPACT (Fiat Tipo STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","29,90 €","89,69 €"
"DiscoverCars","Bravacar","INTERMEDIATE (Renault Megane Grandtour (IWMD))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","19,29 €","57,86 €"
"DiscoverCars","Surprice","ECONOMY (Ford Focus STW (EWMV))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","47,57 €","142,72 €"
"DiscoverCars","Crc","COMPACT (Peugeot 308 STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","58,59 €","175,77 €"
"DiscoverCars","Movyng","COMPACT (Ford Focus STW (CWMD))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","81,51 €","244,54 €"
"DiscoverCars","Rentauto","INTERMEDIATE (Peugeot 308 SW Estate (IWMV))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","54,50 €","163,49 €"
"DiscoverCars","Keddy","COMPACT (Peugeot 308 STW (CWMD))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","45,28 €","135,84 €"
"DiscoverCars","Surprice","ECONOMY (Renault Megane STW (EWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","47,92 €","143,77 €"
"DiscoverCars","Klass Wagen","COMPACT (Kia Ceed STW (CWMR))","07/06/2023","10/06/2023","3","Lisbon Airport","Lisbon Airport","19,20 €","57,59 €"
