Region,Location,Season,Category,Current Utilization,Forecast Utilization,Duration,Competitor Rate,Recommend Rate,Current Rate
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,23,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,24,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,25,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,26,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,27,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,28,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,29,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,30,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDAR (Ford Focus 5 Automatic),112,,31,€70.44,44.58,70.94
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,1,€27.12,29.12,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,2,€27.12,29.12,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,3,€27.12,19.81,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,4,€27.12,19.81,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,5,€27.12,18.81,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,6,€27.12,18.81,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,7,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,8,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,9,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,10,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,11,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,12,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,13,€27.12,16.92,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,14,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,15,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,16,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,17,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,18,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,19,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,20,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,21,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,22,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,23,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,24,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,25,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,26,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,27,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,28,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,29,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,30,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CDMR (Skoda Scala Manual),85,,31,€27.12,17.6,29.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,1,€70.94,71.44,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,2,€70.94,71.44,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,3,€70.94,50.94,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,4,€70.94,50.94,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,5,€70.94,49.02,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,6,€70.94,49.02,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,7,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,8,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,9,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,10,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,11,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,12,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,13,€70.94,45.76,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,14,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,15,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,16,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,17,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,18,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,19,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,20,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,21,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,22,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,23,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,24,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,25,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,26,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,27,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,28,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,29,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,30,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGAR (Citroen C4 Automatic),112,,31,€70.94,45.08,71.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,1,€29.12,30.12,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,2,€29.12,30.12,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,3,€29.12,20.81,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,4,€29.12,20.81,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,5,€29.12,19.81,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,6,€29.12,19.81,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,7,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,8,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,9,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,10,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,11,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,12,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,13,€29.12,17.92,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,14,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,15,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,16,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,17,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,18,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,19,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,20,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,21,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,22,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,23,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,24,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,25,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,26,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,27,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,28,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,29,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,30,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CGMR (Ford Puma Manual),85,,31,€29.12,18.6,30.12
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,1,"48,84 €",49.82,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,2,"48,84 €",49.82,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,3,"48,84 €",35.02,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,4,"48,84 €",35.02,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,5,"48,84 €",29.87,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,6,"48,84 €",29.87,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,7,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,8,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,9,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,10,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,11,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,12,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,13,"48,84 €",27.01,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,14,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,15,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,16,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,17,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,18,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,19,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,20,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,21,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,22,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,23,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,24,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,25,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,26,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,27,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,28,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,29,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,30,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),CWMR (Kia Ceed Sports Wagon Manual),85,,31,"48,84 €",25.74,49.82
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,1,€30.12,29.62,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,2,€30.12,29.62,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,3,€30.12,20.31,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,4,€30.12,20.31,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,5,€30.12,19.31,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,6,€30.12,19.31,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,7,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,8,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,9,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,10,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,11,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,12,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,13,€30.12,17.42,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,14,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,15,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,16,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,17,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,18,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,19,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,20,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,21,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,22,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,23,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,24,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,25,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,26,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,27,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,28,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,29,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,30,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),DDMR (VW Golf Manual),85,,31,€30.12,18.1,29.62
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,1,"70,44 €",70.44,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,2,"70,44 €",70.44,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,3,"70,44 €",49.94,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,4,"70,44 €",49.94,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,5,"70,44 €",48.02,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,6,"70,44 €",48.02,70.44
Porto Airport,Porto Airport,SEP1_FR(01/09/2023--02/09/2023),EDAR (Peugeot 208 Automatic),112,,7,"70,44 €",44.76,70.44
