selection1_name,selection1_location,selection1_date,selection1_Category
Titirangi Village Market,Titirangi War Memorial Hall,Today 10:00am,Markets and Fairs
The Village Square City Market,Freyberg Square,Today 9:00am,Markets and Fairs
TVS City Market,Ellen Melville Centre,Today 9:00am,Markets and Fairs
Mantra Night - Grey Lynn,Grey Lynn Community Centre,Today 6:00pm,Mind & Body
Wedding Open Day,Northridge Country Club,Today 10:00am,Business & Professional
Guided Museum Tours,New Zealand Maritime Museum,Today 10:30am,Public Talks & Tours
Acro On the Beach,Browns Bay Beach Reserve,Today 9:30am,Mind & Body
Kaipara Regeneration - Free Workshop: CANCELLED,Kaipara Coast Plants & Sculpture Gardens,Today 9:30am,Family & Lifestyle
Free 10 week Conversational Chinese Language Class,Albany Village Library,Today 10:00am,"Ethnic, Multicultural"
Fun Art Classes for Beginners - Hibiscus Coast,Red Beach Surf Lifesaving Club,Today 1:30pm,Education
Sunday Dynamic Drawing,Mairangi Arts Centre,Today 12:30pm,Education
Sunday Pixel Art,Mairangi Arts Centre,Today 10:30am,Education
Sunday Morning Drawing,Mairangi Arts Centre,Today 10:30am,Education
Sunday Afternoons 3D Art,Mairangi Arts Centre,Today 12:30pm,Education
School Holiday Candle-Making,Milford Shopping Centre,Today 10:00am,Education
Capoeira Angola Classes,Hobsonville Point Primary School,Tomorrow 7:00pm,Martial Arts
Auckland Dating Workshop,The Crib,Tomorrow 11:00am,Education
Happy Hour Hot Yoga,Hot Yoga Works Britomart,Tomorrow 9:30am,Mind & Body
World Vision Junior Youth Conference,BNZ Theatre at Due Drop Events Centre,Tomorrow 9:00am,Education
Accredited Social Return on Investment (SROI) Training,The Powerplant,Tomorrow 8:30am,Business & Professional
Keto Made Easy: CANCELLED,New Image,Tomorrow 7:00pm,Education
"The Navigator Screening, Q & a With Director Vincent Ward",Capitol Cinema,Tomorrow 7:15pm,Film
Auckland Film Society – Tokyo Drifter,Academy Cinemas,Tomorrow 6:15pm,Film
Run Club Newmarket,RunT3,Tomorrow 5:25pm,Fitness
Free Comedy Mt Eden: CANCELLED,Outside Obie Bar,Tomorrow 7:00pm,Comedy
Commercial Dance Class 16+ Int-Adv.,Empire Studios,Tomorrow 6:00pm,Dance
Kids Capoeira Classes Term 2,Victoria Avenue Primary School,Tomorrow 6:10pm,Martial Arts
The Project - TV Studio Audience Wanted,The Project Studio,Tomorrow 6:30pm,Film
Comedy Pub Quiz in Ponsonby,The Cav,Tomorrow 7:30pm,"Quiz, Karaoke"
Live Yoga classes,Warkworth Town Hall,Tomorrow 9:30am,Mind & Body
Live Yoga classes,Warkworth Town Hall,Tomorrow 6:00pm,Mind & Body
Monday Afternoon Clay Making,Mairangi Arts Centre,Tomorrow 12:00pm,Education
Monday Contemporary Pictorial and Abstract Art,Mairangi Arts Centre,Tomorrow 9:30am,Education
Monday Expressive Acrylics,Mairangi Arts Centre,Tomorrow 1:00pm,Education
Monday Evening Clay Making,Mairangi Arts Centre,Tomorrow 7:00pm,Education
Weekly Drama Classes (Ages 5-16) - Tim Bray Youth Theatre,TAPAC,Tomorrow 4:00pm,Education
Monday Foundations of Painting and Drawing,Mairangi Arts Centre,Tomorrow 9:30am,Education
Monday Illustration Studio,Mairangi Arts Centre,Tomorrow 4:30pm,Education
Monday Introduction to 3D Art,Mairangi Arts Centre,Tomorrow 4:30pm,Education
Monday Introduction to Drawing & Watercolour,Mairangi Arts Centre,Tomorrow 4:30pm,Education
Culture & Language Classes,Jubilee Building - Parnell Community Centre,Tomorrow 6:00pm,"Ethnic, Multicultural"
"Creative Art & Craft Classes (Painting, Calligraphy & more)",Jubilee Building - Parnell Community Centre,Tomorrow 12:30pm,"Ethnic, Multicultural"
Professional Acting Classes for 2023: Teens & Adult classes,Howick Little Theatre,Tomorrow 4:30pm,Education
"Healthy Body & Mind Classes (Pilates, Yoga, Tai Chi, Dance)",Jubilee Building - Parnell Community Centre,Tomorrow 8:00am,Mind & Body
The Lighthouse Keeper's Lunch – Live On Stage,Māngere Arts Centre - Ngā Tohu o Uenuku,Tue 2 May 10:30am,Theatre
Comedy On The Rocks,"On The Rocks, Milford",Tue 2 May 7:30pm,Comedy
Slice of Funny - Comedy & Pizza,Il Brutto,Tue 2 May 7:30pm,Comedy
Little Ninja Kids Classes (Yellow Belt),SPARTAFIT,Tue 2 May 4:15pm,Martial Arts
World Vision Youth Conference,BNZ Theatre at Due Drop Events Centre,Tue 2 May 8:30am,Education
Art Collective Project with Watercolour Artist Linda Wills,Shiloh Creative Life Centre,Tue 2 May 10:00am,Family & Lifestyle
First Foundation Awards and Completion 2023,LIFE Central,Tue 2 May 6:00pm,Education
Diploma in Professional Scuba Instruction,"DIve HQ Auckland, Academy of Scuba, Mt Roskil",Tue 2 May 9:00am,"Adventure, Extreme"
Introduction to Freediving,Mahurangi College,Tue 2 May 5:30pm,Diving
Takadimi,Pt Chevalier RSA,Tue 2 May 7:30pm,Jazz
Auckland Paint and Wine Night - Banksy Flower Thrower,Dr Rudi's,Tue 2 May 7:00pm,"Food, Gourmet, Wine"
ISMO – Watch Your Language,SkyCity Theatre,Tue 2 May 7:00pm,Comedy
The Big Bike Film Night - Howick,Monterey Cinema,Tue 2 May 6:15pm,Cycling
Learn to Skateboard at NZs only Indoor Skatepark,SonSk8 Indoor Skatepark,Tue 2 May 4:30pm,Skating
Heels Sultry Dance Class 16+ Int-Adv.,Empire Studios,Tue 2 May 7:00pm,Dance
Adult Lyrical Beg-Adv Levels,Empire Studios,Tue 2 May 8:00pm,Dance
Contemporary Ballet Open Class,Empire Studios,Tue 2 May 6:00pm,Dance
Contemporary Ballet Open Class,Empire Studios,Tue 2 May 6:00pm,Dance
Cabaret Fusion Dance Class 16+ Open Class,Empire Studios,Tue 2 May 6:00pm,Dance
Adult Lyrical Beg-Adv Levels,Empire Studios,Tue 2 May 8:00pm,Dance
Open Mic,Takapuna Bar,Tue 2 May 8:00pm,"Open Mic, Jams"
Jazz Funk / Commercial Dance Class 9-12yrs,Empire Studios,Tue 2 May 3:30pm,Dance
Ballet Contemporary Dance Class 9-12yrs,Empire Studios,Tue 2 May 3:30pm,Dance
Jazz Funk / Commercial Dance Class 9-12yrs,Empire Studios,Tue 2 May 3:30pm,Dance
Ballet Contemporary Dance Class 9-12yrs,Empire Studios,Tue 2 May 3:30pm,Dance
Contemporary Dance 10-15yrs,Empire Studios,Tue 2 May 5:00pm,Dance
Lyrical Dance Class 8-11yrs,Empire Studios,Tue 2 May 4:15pm,Dance
Lyrical Dance Class 11-15yrs,Empire Studios,Tue 2 May 4:15pm,Dance
Acro Jazz Dance & Tumbling Class 7-13yrs,Empire Studios,Tue 2 May 5:00pm,Dance
Cheer and Pom Dance 7-13yrs,Empire Studios,Tue 2 May 4:45pm,Dance
Witi's Wāhine,ASB Waterfront Theatre,Tue 2 May 7:00pm,Theatre
Quiz,Freeman & Grey,Tue 2 May 7:30pm,"Quiz, Karaoke"
Quiz Night with Donna Brookbanks,The Hangar Bar,Tue 2 May 7:00pm,"Quiz, Karaoke"
Quiz Night - Freeman & Grey,Freeman & Grey,Tue 2 May 7:30pm,"Quiz, Karaoke"
Quiz Night,Revelry,Tue 2 May 7:00pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Whangaparaoa,The Beer Spot Whangaparaoa,Tue 2 May 6:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Morningside,The Beer Spot Morningside,Tue 2 May 6:30pm,"Quiz, Karaoke"
Drama Queens Dress Ups Make Believe and musical mayhem,Orakei Community Centre,Tue 2 May 10:00am,"Children, Kids, Holidays"
Quiz Night - The Beer Spot Northcote,The Beer Spot,Tue 2 May 6:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Huapai,The Beer Spot,Tue 2 May 6:30pm,"Quiz, Karaoke"
Quiz Night - The Beer Spot Panmure,The Beer Spot Panmure,Tue 2 May 6:30pm,"Quiz, Karaoke"
Quiz Night With Riggsy,The Bridgman,Tue 2 May 7:00pm,"Quiz, Karaoke"
Comedy Pub Quiz in Ellerslie,Doolan Brothers Ellerslie,Tue 2 May 7:30pm,"Quiz, Karaoke"
Churly's Brewpub Quiz Night,Churly's Brew Pub,Tue 2 May 7:00pm,"Quiz, Karaoke"
Immersion - Yoga & Kirtan,Mt Eden War Memorial Hall,Tue 2 May 6:00pm,Mind & Body
Jewellery Making Course for Beginners to Advanced,UXBRIDGE Arts & Culture Centre,Tue 2 May 9:00am,Family & Lifestyle
Abstract Painting Course,UXBRIDGE Arts & Culture Centre,Tue 2 May 9:30am,Education
Foundations Of Flow - Five Week Series,Kanuka Yoga Space,Tue 2 May 7:00pm,Mind & Body
Fun Art Classes for Beginners,North Shore Squash Club,Tue 2 May 1:00pm,Education
Diabetes Prevention Study,Human Nutrition Unit,Tue 2 May 8:00am,Education
Book-A-Family History Librarian,Takapuna Library,Tue 2 May 9:00am,Education
Women's Wellbeing Circle: CANCELLED,The Women's Centre,Tue 2 May 6:00pm,Mind & Body
Women's Song Circle: CANCELLED,The Women's Centre,Tue 2 May 7:30pm,Mind & Body
Tuesday Expressive Acrylics Evenings,Mairangi Arts Centre,Tue 2 May 7:00pm,Education
Tuesday Expressive Portraits,Mairangi Arts Centre,Tue 2 May 4:30pm,Education
Tuesday Lively Sketching with Pen & Wash,Mairangi Arts Centre,Tue 2 May 9:15am,Education
Tuesday Afternoon Clay Making,Mairangi Arts Centre,Tue 2 May 12:00pm,Education
Tuesday Advanced Watercolours,Mairangi Arts Centre,Tue 2 May 1:00pm,Education
Tuesday Evening Clay Making,Mairangi Arts Centre,Tue 2 May 7:00pm,Education
Tuesday Intermediate Painting,Mairangi Arts Centre,Tue 2 May 4:30pm,Education
Tuesday Introduction to Clay,Mairangi Arts Centre,Tue 2 May 4:30pm,Education
Tuesday Let's Draw & Paint,Mairangi Arts Centre,Tue 2 May 4:30pm,Education
Weekly Drama Classes (Ages 8-13) - Tim Bray Youth Theatre,TAPAC,Tue 2 May 5:00pm,Education
Drama Classes for Autistic & Neurodivergent Children & Teens,Meadowood Community House,Tue 2 May 4:00pm,Education
MATA <>+<> ARIKI at Pukepuke,Nathan Homestead - Manurewa Arts Centre,Tue 2 May 10:00am,Education
Creative Drama Classes Birkenhead - 7 to 16 years,TheatreWorks,Tue 2 May 4:00pm,Education
Children’s 1-Hour Acting Classes for 2023 - Leading Tutor,Howick Little Theatre,Tue 2 May 4:00pm,Education
Dai Henwood & Friends,The Kingslander,Wed 3 May 7:30pm,Comedy
Social Indoor Volleyball - Full Court Mixed 6s - From ACVC,Lynfield College,Wed 3 May 7:00pm,Volleyball
Revelry's Fresh Live Comedy,Revelry,Wed 3 May 7:45pm,Comedy
Big Wednesday ... Fresh Comedy in 2023,The Classic Comedy Club,Wed 3 May 7:30pm,Comedy
Creative Jazz Club: Michael Gianan Quartet,Anthology Lounge,Wed 3 May 8:00pm,Jazz
My Neighbour Adolf,Hawkins Theatre,Wed 3 May 12:30pm,Film
Shackleton: The Greatest Story of Survival,Hawkins Theatre,Wed 3 May 7:30pm,Film
Red White and Brass,Hawkins Theatre,Wed 3 May 10:00am,Film
Audioculture Presents: Gareth Shute - Music and New Zealand,Whare Wānanga,Wed 3 May 12:00pm,Public Talks & Tours
Business Club at The Village,The Village NZ,Wed 3 May 5:00pm,Business & Professional
Auckland Paint and Wine Night - Matisse Landscape,Good George,Wed 3 May 7:00pm,"Food, Gourmet, Wine"
Strike Up The Band!,Centrestage Theatre,Wed 3 May 11:00am,Theatre
Nikola Memedovic Jazz Piano Concert,Lewis Eady,Wed 3 May 7:30pm,Jazz
The Big Bike Film Night - Avondale,The Hollywood Avondale,Wed 3 May 7:00pm,Cycling
Hip Hop Beginner Adults Open Class,Empire Studios,Wed 3 May 6:45pm,Dance
"Hip Hop, Hair N Heels 16+",Empire Studios,Wed 3 May 6:00pm,Dance
Heels Beginner 16+ Open Dance Class,Empire Studios,Wed 3 May 6:00pm,Dance
Femme Power Open Class at Empire,Empire Studios,Wed 3 May 7:30pm,Dance
Modern Broadway - Musical Theatre Open Dance Class,Empire Studios,Wed 3 May 6:45pm,Dance
Barre Fit Open Class at Empire,Empire Studios,Wed 3 May 6:00pm,Dance
Wednesday Quiz Night,The Elephant Wrestler,Wed 3 May 6:30pm,"Quiz, Karaoke"
Boteco Beats with Juliana Sian & Guests + Bobby Brazuka,Ponsonby Social Club,Wed 3 May 7:00pm,Latin
Highwic Coal Range Baking Days,Highwic,Wed 3 May 11:00am,Family Entertainment
Jazz Funk Dance Class 5-7yrs,Empire Studios,Wed 3 May 4:00pm,Dance
Jazz Funk Dance Class 8-10yrs,Empire Studios,Wed 3 May 4:00pm,Dance
Junior Ballet Dance Class 4-6yrs,Empire Studios,Wed 3 May 4:00pm,Dance
Junior Ballet Dance Class 7-9yrs,Empire Studios,Wed 3 May 4:45pm,Dance
Lyrical Dance Class 5-7yrs,Empire Studios,Wed 3 May 4:45pm,Dance
Quiz Nights At Our Land Is Alive,Cordis Auckland,Wed 3 May 6:30pm,"Quiz, Karaoke"
Counties Chess Club Incorporated,Mauku Victory Hall,Wed 3 May 6:30pm,"Games, Carnivals"
Te Reo Tino - The Ultimate Voice,Crates n Cues,Wed 3 May 7:00pm,Bar DJs
Quiz Night - Ōrākei Bay Village,Brothers Beer & Juke Joint BBQ,Wed 3 May 7:00pm,"Quiz, Karaoke"
Quiz Night Mt Eden,Brothers Beer & Juke Joint BBQ,Wed 3 May 7:00pm,"Quiz, Karaoke"
Quiz Night - Onehunga,Brothers Beer & Juke Joint BBQ Onehunga,Wed 3 May 7:00pm,"Quiz, Karaoke"
Quiz Night - 605 Morningside Drinkery,605 Morningside Drinkery,Wed 3 May 7:00pm,"Quiz, Karaoke"
Quiz Night - Little Creatures,Little Creatures Brewing,Wed 3 May 7:00pm,"Quiz, Karaoke"
"Drama Queens, Dress ups make believe and musical mayhem",Western Springs Hall,Wed 3 May 10:00am,Theatre
Comedy Quiz at The Portland Kingsland,The Portland Public House,Wed 3 May 7:30pm,"Quiz, Karaoke"
Comedy Quiz at Holey Moley,Holey Moley Bar,Wed 3 May 7:00pm,"Quiz, Karaoke"
Somervell Op Shop,Somervell Presbyterian Church,Wed 3 May 9:30am,"Charity, Fundraisers"
Deep Peace Meditation,Ferndale House,Wed 3 May 10:30am,Mind & Body
Tea & Tales,Central City Library,Wed 3 May 2:30pm,Family & Lifestyle
Introduction to Art History - Renaissance to Surrealist Art,Selwyn Community Education,Wed 3 May 6:30pm,Education
Parenting Through Challenging Times - Kumeu,Kumeu Community Hall,Wed 3 May 12:30pm,Family & Lifestyle
Leadership & Management Part 1,The Parnell Hotel & Conference Centre,Wed 3 May 8:30am,Business & Professional
Fun Art Classes for Beginners - Hibiscus Coast,Red Beach Surf Lifesaving Club,Wed 3 May 9:30am,Education
Flying Saucers Beginner Pottery Class,Wood Fired Pottery School,Wed 3 May 6:15pm,Education
Yoga for Everyone,Orewa Community Centre,Wed 3 May 10:00am,Mind & Body
Stained Glass/Leadlighting Course,UXBRIDGE Arts & Culture Centre,Wed 3 May 6:30pm,Education
Wednesday Exploring Acrylics,Mairangi Arts Centre,Wed 3 May 9:30am,Education
Wednesday Taking Control of Watercolour,Mairangi Arts Centre,Wed 3 May 9:30am,Education
Wednesday Afternoon Watercolour,Mairangi Arts Centre,Wed 3 May 1:00pm,Education
Wednesday Creative Drawing & Painting,Mairangi Arts Centre,Wed 3 May 4:30pm,Education
Wednesday Introduction to 3D Art,Mairangi Arts Centre,Wed 3 May 4:30pm,Education
Wednesday Introduction to Comic Drawing,Mairangi Arts Centre,Wed 3 May 4:30pm,Education
Wednesday Morning Cast Glass,Mairangi Arts Centre,Wed 3 May 9:30am,Education
Wednesday Evenings Crystal Glass,Mairangi Arts Centre,Wed 3 May 7:00pm,Education
Weekly Drama Classes (Ages 5-13) - Tim Bray Youth Theatre,East Coast Bays Community Centre,Wed 3 May 4:00pm,Education
The 5 Star Comedy Preview 2023,SkyCity Theatre,Thu 4 May 8:00pm,Comedy
Pro Night ... Premium Live Comedy in 2023,The Classic Comedy Club,Thu 4 May 7:30pm,Comedy
Thirsty Dog Comedy Showcase,The Thirsty Dog,Thu 4 May 7:45pm,Comedy
Auckland Tuatara v Otago Nuggets,Eventfinda Stadium,Thu 4 May 7:00pm,Basketball
Beats By Bingo - Birkenhead,Brothers Beer & Juke Joint BBQ,Thu 4 May 7:30pm,Bar DJs
Skits & Giggles,Covert Theatre,Thu 4 May 7:30pm,Theatre
Women who LEAD,"'The Cube', ASB, North Wharf",Thu 4 May 5:30pm,Public Talks & Tours
Art Collective Project with Artist Naomi Azoulay,Shiloh Creative Life Centre,Thu 4 May 6:00pm,Family & Lifestyle
Otahuhu Phoenix Market,Otahuhu Market,Thu 4 May 7:00am,Festivals
Fashion Hacktivism,Kings Plant Barn Stonefields,Thu 4 May 6:00pm,"Charity, Fundraisers"
Djs Katya & Kirsty Sutherland,Ponsonby Social Club,Thu 4 May 9:00pm,"Alternative, Indie"
APO | Bayleys Great Classics: Rach 2,Auckland Town Hall - Great Hall,Thu 4 May 7:30pm,Classical Music
Cups Night - May Carnival of Racing at Alexandra Park,Alexandra Park Raceway,Thu 4 May 5:30pm,Horse Racing
Viices with Fools Lagoon and Lost Vessels,Dead Witch,Thu 4 May 8:00pm,Rock
Muckaround Comedy May,Whammy Bar,Thu 4 May 8:00pm,Comedy
Auckland Paint and Wine Event - Mōhua in Autumn,Longroom,Thu 4 May 7:00pm,"Food, Gourmet, Wine"
Wynyard Grill Jazz Night ft. Caitlin Smith Trio,Wynyard Grill,Thu 4 May 7:00pm,Jazz
Chair Burlesque 16+ Open Class at Empire,Empire Studios,Thu 4 May 6:45pm,Dance
Taka Thursdays,The Elephant Wrestler,Thu 4 May 9:00am,Drum & Bass
Jam/Open Mic Night - Where Music Lovers and Musicians Meet,DFlat Auckland,Thu 4 May 7:30pm,"Open Mic, Jams"
Remuera Teen/Adult Capoeira Classes Term 2,College Rifles Sports Club,Thu 4 May 6:15pm,Martial Arts
Hip Hop Dance Class 6-8yrs,Empire Studios,Thu 4 May 4:00pm,Dance
Hip Hop Dance Class 9-12yrs,Empire Studios,Thu 4 May 4:00pm,Dance
Teenage Commercial / Jazz Funk Dance Class,Empire Studios,Thu 4 May 5:30pm,Dance
Jazz Funk / Commercial Dance Class 9-12yrs,Empire Studios,Thu 4 May 5:30pm,Dance
Jazz Funk Dance Class 7-10yrs,Empire Studios,Thu 4 May 4:45pm,Dance
Contemporary Dance Class 9-12yrs,Empire Studios,Thu 4 May 4:45pm,Dance
Kōpū,Te Pou Theatre,Thu 4 May 8:00pm,Theatre
Relatively Speaking,The PumpHouse Theatre,Thu 4 May 7:30pm,Comedy
Thursday Karaoke Club,Workshop Bar,Thu 4 May 7:00pm,Variety Concerts
Open Jam Night At Portland Public House,The Portland Public House,Thu 4 May 9:30pm,"Open Mic, Jams"
Somervell Playgroup,Somervell Presbyterian Church,Thu 4 May 9:30am,"Children, Kids, Holidays"
"Drama Queens, Dress ups, Make believe & Musical Mayhem",Orakei Community Centre,Thu 4 May 10:00am,Theatre
Otahuhu Phoenix Market,Phoenix Tavern,Thu 4 May 7:00am,Markets and Fairs
The Kingslander Open Mic,The Kingslander,Thu 4 May 7:00pm,"Open Mic, Jams"
Comedy Night at Miss Lucy's,Miss Lucy's,Thu 4 May 7:30pm,Comedy
Oil Pastel Workshop - Still Life Flowers,Brothers Beer,Thu 4 May 7:00pm,Education
Trade Breakfast,Mitre 10 Mega Westgate,Thu 4 May 7:00am,Business & Professional
First Home Buyers Guide,Takapuna Library,Thu 4 May 12:00pm,Education
Leadership & Management Part 2,The Parnell Hotel & Conference Centre,Thu 4 May 8:30am,Business & Professional
"Meditate, Better Yourself",Auckland Meditation Centre,Thu 4 May 10:00am,Mind & Body
Into Orbit Intermediate Pottery Class,Wood Fired Pottery School,Thu 4 May 6:15pm,Education
Watercolour Techniques,UXBRIDGE Arts & Culture Centre,Thu 4 May 9:30am,Family & Lifestyle
Thursday Lively Sketching with Pen & Wash,Mairangi Arts Centre,Thu 4 May 9:30am,Education
Thursday Sketching & Painting with Gouache,Mairangi Arts Centre,Thu 4 May 7:00pm,Education
Thursday Let's Clay!,Mairangi Arts Centre,Thu 4 May 4:30pm,Education
Thursday Let's Draw & Paint,Mairangi Arts Centre,Thu 4 May 4:30pm,Education
Thursday Teens Mixed Media,Mairangi Arts Centre,Thu 4 May 4:30pm,Education
Thursday Crystal Glass Morning,Mairangi Arts Centre,Thu 4 May 9:30am,Education
Weekly Drama Classes for Ages 5-10,St Georges Presbyterian Church,Thu 4 May 4:00pm,Education
Drama Classes for Autistic & Neurodivergent children & teens,Te Oro,Thu 4 May 4:00pm,Education
Soul Me Up Yoga,Mt Eden Village Centre,Thu 4 May 6:30pm,Mind & Body
Guided Museum Tours,New Zealand Maritime Museum,Thu 4 May 10:30am,Public Talks & Tours
Open Mic Comedy,Love Shack Bar,Fri 5 May 8:00pm,Comedy
Garnet Station Comedy Showcase,"Tiny Theatre, Garnet Station",Fri 5 May 8:00pm,Comedy
Living Room,Covert Theatre,Fri 5 May 9:00pm,Theatre
Guy Cater Kiwi Comedy Hypnotist,Hibiscus Coast RSA,Fri 5 May 7:00pm,Comedy
Traffic Jam,Covert Theatre,Fri 5 May 7:30pm,Theatre
Marlowe,Hawkins Theatre,Fri 5 May 12:30pm,Film
Driving Madeleine,Hawkins Theatre,Fri 5 May 10:00am,Film
Paint & Chill - Tui on Flax!,Auckland City Hotel,Fri 5 May 6:00pm,"Socials, Singles, Balls"
Super H.I.T.T Training Session,SPARTAFIT,Fri 5 May 6:00am,Fitness
Big George Foreman,Hawkins Theatre,Fri 5 May 7:30pm,Film
JBM & Friends: POSTPONED,The Cellar Bar,Fri 5 May 9:00pm,Electronica
Auckland Dating Workshop,The Crib,Fri 5 May 11:00am,Education
Rusko (UK) | Auckland,The Mothership,Fri 5 May 10:00pm,Drum & Bass
Phum Viphurit,The Tuning Fork,Fri 5 May 7:30pm,Pop
Best Foods Comedy Gala 2023,The Civic,Fri 5 May 7:30pm,Comedy
Djs Chip & Soultre,Ponsonby Social Club,Fri 5 May 9:00pm,"Hip Hop, Rap"
Food Truck Collective Remuera,Martyn Wilson Fields,Fri 5 May 5:00pm,Markets and Fairs
Vector Lights for the Coronation of King Charles III,Auckland Harbour Bridge,Fri 5 May 6:00pm,"Commemorations, Ceremonies"
The Big Bike Film Night - Auckland CBD,Academy Cinemas,Fri 5 May 8:00pm,Cycling
Free Bubble Soccer in the Park - Ferguson Oaks Reserve,Ferguson Oak Reserve,Fri 5 May 3:30pm,"Games, Carnivals"
Te Atatu South Repair Cafe,Te Atatu South Community Centre,Fri 5 May 5:00pm,"Conservation, Environment"
Storytime at the Maritime,New Zealand Maritime Museum,Fri 5 May 10:30am,"Children, Kids, Holidays"
DJ cult45,Mezze Bar,Fri 5 May 5:30pm,Bar DJs
Karaoke Fridays with Flamairs,Taphouse Avondale,Fri 5 May 8:00pm,"Open Mic, Jams"
Friday Wheel Throwing Development for Young Adults,Mairangi Arts Centre,Fri 5 May 4:30pm,Education
Friday Painting with Friends Untutored,Mairangi Arts Centre,Fri 5 May 9:30am,Education
Auckland Garden Club,Auckland Horticultural Centre,Fri 5 May 10:30am,Education
Friday Creative Drawing,Mairangi Arts Centre,Fri 5 May 4:30pm,Education
